"participant.id_in_session","condition","session_id","subsession.round_number","participant_number","item_number","answers","target","network_size","Answers_clean"
3,"random","jdf4sgo1",5,"p21","reordered_keywords_1","shield",1,12,"shield"
3,"random","jdf4sgo1",5,"p21","reordered_keywords_2","horse head",0,12,"horse"
3,"random","jdf4sgo1",5,"p21","reordered_keywords_3","scythe",0,12,"scythe"
3,"random","jdf4sgo1",10,"p21","reordered_keywords_1","shield",1,12,"shield"
3,"random","jdf4sgo1",10,"p21","reordered_keywords_2","horse head",0,12,"horse"
3,"random","jdf4sgo1",10,"p21","reordered_keywords_3","scythe",0,12,"scythe"
3,"random","jdf4sgo1",10,"p21","reordered_keywords_4","antennae",1,12,"antenna"
3,"random","jdf4sgo1",10,"p21","reordered_keywords_5","hourglass",0,12,"hourglass"
3,"random","ot0ui8sk",5,"p22","reordered_keywords_1","shield",1,12,"shield"
3,"random","ot0ui8sk",5,"p22","reordered_keywords_2","heels",0,12,"heel"
3,"random","ot0ui8sk",5,"p22","reordered_keywords_3","flag",1,12,"flag"
3,"random","ot0ui8sk",5,"p22","reordered_keywords_4","antennae",1,12,"antenna"
3,"random","ot0ui8sk",5,"p22","reordered_keywords_5","apron",1,12,"apron"
3,"random","ot0ui8sk",10,"p22","reordered_keywords_1","shield",1,12,"shield"
3,"random","ot0ui8sk",10,"p22","reordered_keywords_2","heel",0,12,"heel"
3,"random","ot0ui8sk",10,"p22","reordered_keywords_3","flag",1,12,"flag"
3,"random","ot0ui8sk",10,"p22","reordered_keywords_4","antennae",1,12,"antenna"
3,"random","ot0ui8sk",10,"p22","reordered_keywords_5","apron",1,12,"apron"
3,"random","sdth5ohy",5,"p23","reordered_keywords_1","seahorse",0,12,"seahorse"
3,"random","sdth5ohy",5,"p23","reordered_keywords_2","horse",0,12,"horse"
3,"random","sdth5ohy",5,"p23","reordered_keywords_3","flag",1,12,"flag"
3,"random","sdth5ohy",5,"p23","reordered_keywords_4","alien",0,12,"alien"
3,"random","sdth5ohy",5,"p23","reordered_keywords_5","angel",0,12,"angel"
3,"random","sdth5ohy",10,"p23","reordered_keywords_1","seahorse",0,12,"seahorse"
3,"random","sdth5ohy",10,"p23","reordered_keywords_2","boot",0,12,"boot"
3,"random","sdth5ohy",10,"p23","reordered_keywords_3","flag",1,12,"flag"
3,"random","sdth5ohy",10,"p23","reordered_keywords_4","alien",0,12,"alien"
3,"random","sdth5ohy",10,"p23","reordered_keywords_5","apron",1,12,"apron"
3,"ws","slpk75c0",5,"p24","reordered_keywords_3","sythe",0,12,"sythe"
3,"ws","slpk75c0",5,"p24","reordered_keywords_5","insect with a m in the middle",0,12,"insect be middle"
3,"ws","slpk75c0",10,"p24","reordered_keywords_1","shield",1,12,"shield"
3,"ws","slpk75c0",10,"p24","reordered_keywords_2","angel",1,12,"angel"
3,"ws","slpk75c0",10,"p24","reordered_keywords_3","flag",1,12,"flag"
3,"ws","slpk75c0",10,"p24","reordered_keywords_4","antennae",1,12,"antenna"
3,"ws","slpk75c0",10,"p24","reordered_keywords_5","apron",1,12,"apron"
